Id,URL,Tag
9,https://github.com/ubergeek42/weechat-android/commit/79575f1,Added Missing Comments
60,https://github.com/hibernate/hibernate-search/commit/95212c659,Improved Wording of Comments
79,https://github.com/restlet/restlet-framework-java/commit/f4f3d31e2,Fixed Typos
91,https://github.com/aosp-mirror/platform_frameworks_base/commit/57ae55cbeff,Updated Comment to Better Detail the Application Logic
107,https://github.com/ArcBees/GWTP/commit/656406523,Updated Comment to Fix Wrong Return Type in Example Code
110,https://github.com/kickstarter/android-oss/commit/4ac37f89,Deleted Technical Debt Comment with Added Code Implementation
116,https://github.com/ervandew/eclim/commit/c659fcacc,FALSE POSITIVE
143,https://github.com/IQSS/dataverse/commit/deb85aec3,Updated Comment to Better Match the Application Logic
151,https://github.com/opentripplanner/OpenTripPlanner/commit/9a92eddd7,Deleted Technical Debt Comment to Update Outdated Information
152,https://github.com/openpnp/openpnp/commit/8bc09b1448,FALSE POSITIVE
153,https://github.com/stanfordnlp/CoreNLP/commit/0f761c9a9,Added Missing Comments and Deleted Comments
157,https://github.com/bobbylight/RSyntaxTextArea/commit/e81c8b3,FALSE POSITIVE
163,https://github.com/wordpress-mobile/WordPress-Android/commit/ab3cb9e6f7,Updated Misleading Comment to Describe the Correct Behavior
166,https://github.com/apache/ofbiz/commit/06440d35ce,Updated Comment to Better Explain Methods Usage
180,https://github.com/TEAMMATES/teammates/commit/90b88666e,FALSE POSITIVE
214,https://github.com/JetBrains/MPS/commit/96ca3f4944d3,FALSE POSITIVE
220,https://github.com/HubSpot/Singularity/commit/7a9bde531,Add @deprecated to Javadoc of Deprecated Methods
230,https://github.com/Adobe-Consulting-Services/acs-aem-commons/commit/11cb5767,FALSE POSITIVE
253,https://github.com/Azure/azure-sdk-for-java/commit/b38dfba21a,Added Missing Comments
262,https://github.com/processing/processing/commit/f334b37be,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
279,https://github.com/openmrs/openmrs-core/commit/0e72cf5c8,Replaced Automatically Generated Comment With Manually Written One
280,https://github.com/intuit/karate/commit/b3a65a10,FALSE POSITIVE
309,https://github.com/elastic/elasticsearch/commit/84dd719ab9a,Deleted Outdated Comment
310,https://github.com/Alluxio/alluxio/commit/75c0c20640,"Added Technical Debt Comment (e.g., TODO, TOFIX)"
314,https://github.com/apache/jena/commit/69ef0a7cd1,Unclear
341,https://github.com/classgraph/classgraph/commit/987128bc,Updated Comment to Better Detail the Application Logic
345,https://github.com/oyachai/HearthSim/commit/b9cee4d4,Deleted Outdated Comment
347,https://github.com/Alluxio/alluxio/commit/565ed440a3,Improved Formatting of Comments
348,https://github.com/Alluxio/alluxio/commit/4a3b898ec0,Updated Comment To Match the New Application Logic
368,https://github.com/intuit/wasabi/commit/8e729703,Updated Comment to Match New Method Signature
369,https://github.com/apache/jena/commit/fa57ed918c,Updated Comment to Match Renamed Variables/Methods
375,https://github.com/watson-developer-cloud/java-sdk/commit/571b7782e2,FALSE POSITIVE
379,https://github.com/rstudio/rstudio/commit/a660ce37d6,Updated Comment to Match New Method Signature
382,https://github.com/networknt/light-4j/commit/ece631a3,Added Comments Explaining the Rationale for Implementation Choice
387,https://github.com/caprica/vlcj/commit/d8c34c17,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
391,https://github.com/classgraph/classgraph/commit/e663b366,Updated Comment to Better Match the Application Logic
407,https://github.com/tinkerpop/gremlin/commit/8b373633,FALSE POSITIVE
429,https://github.com/apache/wicket/commit/3d6e02bf71,Unclear
467,https://github.com/networknt/light-4j/commit/6e640839,Improved Wording of Comments
468,https://github.com/jclouds/legacy-jclouds/commit/ac0e5f5e67,FALSE POSITIVE
505,https://github.com/apache/tomcat/commit/710bc4a0d,Updated Comment to Match Method/Variable Name
518,https://github.com/javaparser/javaparser/commit/c1cde434c,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
523,https://github.com/TEAMMATES/teammates/commit/444d0f6ea,Updated Comment To Match the New Application Logic
530,https://github.com/watson-developer-cloud/java-sdk/commit/6c14e27056,Improved Wording of Comments
532,https://github.com/unofficial-openjdk/openjdk/commit/81c37b50179,Updated Comment to Correct Wrong Description
537,https://github.com/tinkerpop/blueprints/commit/329558bf,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
548,https://github.com/material-components/material-components-android/commit/b0d6827e,Added Comments to Warn about the Usage of Specific API
566,https://github.com/sakaiproject/sakai/commit/e529ea0202,FALSE POSITIVE
582,https://github.com/square/wire/commit/45dd2bc7,Unclear
588,https://github.com/wordpress-mobile/WordPress-Android/commit/a9f19a74c4,Added Missing Comments
590,https://github.com/apache/nifi/commit/8e1c79eaa,Added Comment for New Code
596,https://github.com/apache/groovy/commit/8341c825fa,Updated Outdated Comment
628,https://github.com/igvteam/igv/commit/7ff842670,Modified Authorship
663,https://github.com/mgarin/weblaf/commit/d80b3bd5,Added Comment for New Code
665,https://github.com/blazegraph/database/commit/8bafa6025,"Updated Technical Debt Comment (e.g., TODO, TOFIX)"
706,https://github.com/confluentinc/kafka-streams-examples/commit/3e66a17,FALSE POSITIVE
713,https://github.com/aosp-mirror/platform_packages_apps_settings/commit/b50f723964,"Updated Technical Debt Comment (e.g., TODO, TOFIX)"
725,https://github.com/qaprosoft/carina/commit/9955bb0d,FALSE POSITIVE
733,https://github.com/apache/tomcat/commit/9ae13fca3,"Updated Technical Debt Comment (e.g., TODO, TOFIX)"
741,https://github.com/wyvernlang/wyvern/commit/b67bca90,Added Comment for New Code
748,https://github.com/code4craft/webmagic/commit/e7c9ba8,FALSE POSITIVE
751,https://github.com/apache/incubator-skywalking/commit/3eeacb1ae,Improved Wording of Comments
755,https://github.com/apache/cxf/commit/833386f005,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
757,https://github.com/apache/log4j/commit/2cb4983c,Deleted Technical Debt Comment with Updated Code Implementation
769,https://github.com/erickok/transdroid/commit/2553113,Updated Comment to Match New Design of Code
776,https://github.com/hibernate/hibernate-validator/commit/4c8115165,Updated Comment To Match the New Application Logic
780,https://github.com/ReactiveX/RxNetty/commit/75b2ddd6,Updated Comment To Match the New Application Logic
782,https://github.com/javalite/activejdbc/commit/577256d9,"Added Technical Debt Comment (e.g., TODO, TOFIX)"
825,https://github.com/confluentinc/schema-registry/commit/1fdb9e33,FALSE POSITIVE
843,https://github.com/Etar-Group/Etar-Calendar/commit/4ee6b808,Updated Comment to Better Detail the Application Logic
852,https://github.com/Esri/arcgis-runtime-samples-android/commit/3a865b12,Updated Comment to Match Renamed Variables/Methods
863,https://github.com/rstudio/rstudio/commit/63e65a62ef,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
909,https://github.com/OneBusAway/onebusaway-android/commit/023bf3e0,"Updated Technical Debt Comment (e.g., TODO, TOFIX)"
910,https://github.com/apache/karaf/commit/ef83085494,Remove Useless/Junk Comments
953,https://github.com/nayuki/QR-Code-generator/commit/028b377,Updated Comment of Code Structure Due to Code Change
956,https://github.com/xwiki/xwiki-platform/commit/079b363a3b,Added Comment for New Code
966,https://github.com/gchq/Gaffer/commit/8b6e778553,Added Comment for New Code
967,https://github.com/freenet/fred/commit/22e52eeec,FALSE POSITIVE
982,https://github.com/findbugsproject/findbugs/commit/510030f56,Updated Comment to Better Detail the Application Logic
984,https://github.com/ballerina-platform/ballerina-lang/commit/974bb1482f,Specified meaning of Methods parameter
1021,https://github.com/Azure/azure-sdk-for-java/commit/4364551c0f,FALSE POSITIVE
1033,https://github.com/FreeTymeKiyan/LeetCode-Sol-Res/commit/8bc1930,Added Comments Explaining the Rationale for Implementation Choice
1035,https://github.com/vespa-engine/vespa/commit/7ed7730f70,Fixed Typos
1066,https://github.com/facebook/buck/commit/9ac2a1815e,Updated Comment to Fix Wrong Link
1137,https://github.com/gwtproject/gwt/commit/b69c3e769,Added Comment for New Code
1149,https://github.com/Netflix/eureka/commit/10a37ff0,FALSE POSITIVE
1170,https://github.com/wordpress-mobile/WordPress-Android/commit/49ca7ce943,FALSE POSITIVE
1171,https://github.com/forcedotcom/phoenix/commit/5a1f44dd,Update Comment to Make It More Concise
1174,https://github.com/classgraph/classgraph/commit/7206e018,Updated Comment to Correct Wrong Description
1190,https://github.com/OpenLiberty/open-liberty/commit/899b2567b,FALSE POSITIVE
1203,https://github.com/h2database/h2database/commit/cf68e5d01,Updated Comment to Match Renamed Variables/Methods
1247,https://github.com/stanfordnlp/CoreNLP/commit/5bc66cfdd,Added Parameters Example in Method Comment
1255,https://github.com/cymcsg/UltimateRecyclerView/commit/4b1167d,General Improvement of Javadoc Comments (i.e. for the purpose to improve Javadoc of the project)
1256,https://github.com/freenet/fred/commit/d298ff69d,"Updated Technical Debt Comment (e.g., TODO, TOFIX)"
1259,https://github.com/Pi4J/pi4j/commit/bf12e7c8,Updated Comment to Better Match the Application Logic
1267,https://github.com/Pi4J/pi4j/commit/d4cff3e8,FALSE POSITIVE
1268,https://github.com/CyanogenMod/android_frameworks_base/commit/f706ef857bd,Updated Comment to Better Detail the Application Logic
1270,https://github.com/unofficial-openjdk/openjdk/commit/f8b1951e79a,Updated Comment to Better Match the Application Logic
1275,https://github.com/mvel/mvel/commit/7ef7a6cf,Added Missing Comments
1287,https://github.com/classgraph/classgraph/commit/526b3f12,Update Copyright/License
1315,https://github.com/deeplearning4j/dl4j-examples/commit/4a495724,Delete Commented Code
1316,https://github.com/oracle/graal/commit/ffd0bf4db1b,Updated Comment To Match the New Application Logic
1333,https://github.com/UniversalMediaServer/UniversalMediaServer/commit/f7a5ac4ac,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
1351,https://github.com/ata4/disunity/commit/00a0cb5,Relocate Comment to Better Match the Application Logic
1355,https://github.com/apache/tomcat/commit/402e4f9a0,Update Comment Due to Change in Underlying Framework/Library
1375,https://github.com/BuildCraft/BuildCraft/commit/4279fdb31,"Deleted Technical Debt Comment (e.g., TODO, TOFIX)"
1378,https://github.com/kite-sdk/kite/commit/1928f544a,General Improvement of Javadoc Comments (i.e. for the purpose to improve Javadoc of the project)
1397,https://github.com/wordpress-mobile/WordPress-Android/commit/1335256bf4,Updated Comment to Match Renamed Variables/Methods
1413,https://github.com/wikimedia/apps-android-wikipedia/commit/1753df8f4,Added Comment for New Code
1420,https://github.com/typetools/checker-framework/commit/e370fbb6a,FALSE POSITIVE
1424,https://github.com/TEAMMATES/teammates/commit/a034a4292,FALSE POSITIVE
1435,https://github.com/TEAMMATES/teammates/commit/2edd4beea,"Added Technical Debt Comment (e.g., TODO, TOFIX)"
1437,https://github.com/blazegraph/database/commit/ba62a3c8a,Uncomment Code
1445,https://github.com/j256/ormlite-core/commit/7635c3eb,Updated Comment to Better Detail the Application Logic
1449,https://github.com/openmrs/openmrs-core/commit/d2f82a4f0,Updated Comment to Better Detail the Application Logic
1454,https://github.com/opentripplanner/OpenTripPlanner/commit/41ae6ce2e,Updated Comment To Match the New Application Logic
1512,https://github.com/gchq/Gaffer/commit/98091eedc1,FALSE POSITIVE
1515,https://github.com/gerrit-review/gerrit/commit/acefc3d425,Relocate Comment to Better Match the Application Logic
1521,https://github.com/processing/processing/commit/5ad8de77e,Updated Comment to Better Match the Application Logic
1523,https://github.com/alkacon/opencms-core/commit/fce8fc8166,Updated Revision Number in Comment
1529,https://github.com/wro4j/wro4j/commit/cd01c623d,Added Comments Explaining the Rationale for Implementation Choice
1535,https://github.com/couchbase/couchbase-lite-android/commit/a5911fc4,Updated Comment to Better Match the Application Logic
1539,https://github.com/phishman3579/java-algorithms-implementation/commit/3b6b566,Updated Comment to Better Detail the Application Logic
1543,https://github.com/apache/parquet-mr/commit/60c65126,FALSE POSITIVE
1546,https://github.com/opennetworkinglab/onos/commit/f6d1676103,FALSE POSITIVE
1563,https://github.com/nayuki/Project-Euler-solutions/commit/4f718f1,Added Comments Explaining the Rationale for Implementation Choice
